slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,0,aoi_thr=5,0.0,0.0,26,left,left,1.0,0.5,170.0,260.0,310.0,260.0,234.512173913026,246.5716135977482,233.5,246.5,1.0147041625975597,1,4.8,0.9610169156341555,0.03898308436584451,0.9974694666786714,1.016859995404948,2.5921862864470895,1.5753262910421415,1,0,0,20.0,1.5
1,0,aoi_thr=5,0.0,0.0,26,left,left,1.0,0.5,160.0,260.0,300.0,260.0,230.24090085746087,245.86713727399794,229.0,245.0,1.5138566609833661,2,6.0,0.9375938225127874,0.06240617748721257,1.1418237170558496,1.1646692666075442,2.6317639143679745,1.4670946477604303,1,0,0,20.0,1.5
2,0,aoi_thr=5,0.0,0.0,26,left,left,1.0,0.5,150.0,260.0,290.0,260.0,226.31787161249844,244.77240683130933,224.5,243.5,2.2189358584443815,3,7.2,0.9137073943185001,0.08629260568149986,1.2748883248489553,1.3071584047907152,2.6640780631681165,1.3569196583774012,1,0,0,20.0,1.5
3,0,aoi_thr=5,0.0,0.0,26,left,left,1.0,0.5,140.0,260.0,280.0,260.0,221.55245220389392,242.55919534572143,220.0,242.0,1.6500931125398977,4,8.4,0.8926872904967852,0.10731270950321477,1.3949111051851315,1.4211922891333872,2.688257752650636,1.267065463517249,1,0,0,20.0,1.5
4,0,aoi_thr=5,0.0,0.0,26,left,left,1.0,0.5,130.0,260.0,270.0,260.0,217.3157704312292,240.70082368903724,215.5,240.5,1.82684219707253,5,9.6,0.8699896050565867,0.1300103949434132,1.500414696029543,1.529201848700337,2.703533783291671,1.174331934591334,1,0,0,20.0,1.5
5,1,aoi_thr=5,1.0,1.0,25,down,left,1.0,0.5,130.0,250.0,260.0,260.0,213.39483483707855,239.3487018026728,213.39483483707855,239.3487018026728,0.0,0,3.6,0.9856,0.014400000000000003,1.6293650594934523,1.6293650594934523,2.817026437650627,1.1876613781571748,1,0,0,20.0,1.5
6,0,aoi_thr=5,0.0,1.0,25,down,left,1.0,0.5,130.0,240.0,250.0,260.0,208.37312879091436,238.03610948666162,208.89483483707855,237.8487018026728,0.5543454145407175,1,4.8,0.9620527228172834,0.037947277182716614,1.727208772912895,1.7199410382524458,2.9333675868407605,1.2134265485883147,1,0,0,20.0,1.5
7,0,aoi_thr=5,0.0,1.0,25,down,left,1.0,0.5,130.0,230.0,240.0,260.0,204.36955512327748,236.66037356805856,204.39483483707855,236.3487018026728,0.3126953041997033,2,6.0,0.9402964355655506,0.05970356443444933,1.832211471053088,1.8331673042743275,3.0519037885004496,1.2187364842261221,1,0,0,20.0,1.5
8,0,aoi_thr=5,0.0,1.0,25,down,left,1.0,0.5,130.0,220.0,230.0,260.0,199.32175675471453,235.34400386782974,199.89483483707855,234.8487018026728,0.7574580016309559,3,7.2,0.9169957194963303,0.08300428050366965,1.9443847487262715,1.9395257792159841,3.1717213533726936,1.2321955741567094,1,0,0,20.0,1.5
9,0,aoi_thr=5,0.0,1.0,25,down,left,1.0,0.5,130.0,210.0,220.0,260.0,195.07165794801944,234.42100503101324,195.39483483707855,233.3487018026728,1.1199453179201504,4,8.4,0.8938801230346797,0.10611987696532034,2.063183275826324,2.0668459389313396,3.2915792688245595,1.2247333298932201,1,0,0,20.0,1.5
