avg_sync_cost,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,outage_prob,success_prob,method,seed,scan_value
0.325,0.9712443827797508,0.02875561722024934,4.474799755326691,0.0,1.0,aoi_only,42,2.0
0.2,0.9505452156457856,0.049454784354214264,4.474799755326691,0.0,1.0,aoi_only,42,4.0
0.125,0.9298369083744455,0.07016309162555431,4.474799755326691,0.0,1.0,aoi_only,42,6.0
0.1,0.9126893606518156,0.08731063934818453,4.474799755326691,0.0,1.0,aoi_only,42,8.0
0.075,0.8927859477200079,0.10721405227999217,4.474799755326691,0.0,1.0,aoi_only,42,10.0
0.05,0.8299425715188574,0.17005742848114255,4.474799755326691,0.0,1.0,security_risk,42,0.35
0.025,0.7806073851013602,0.21939261489863968,4.47429724724714,0.0,1.0,security_risk,42,0.45
0.025,0.7080007887142501,0.2919992112857499,4.475298802427062,0.0,1.0,security_risk,42,0.55
0.0,0.6652095138649383,0.3347904861350618,4.475298802427062,0.0,1.0,security_risk,42,0.65
0.0,0.6652095138649383,0.3347904861350618,4.475298802427062,0.0,1.0,security_margin,42,0.02
0.0,0.6652095138649383,0.3347904861350618,4.475298802427062,0.0,1.0,security_margin,42,0.05
0.0,0.6652095138649383,0.3347904861350618,4.475298802427062,0.0,1.0,security_margin,42,0.1
0.0,0.6652095138649383,0.3347904861350618,4.475298802427062,0.0,1.0,security_margin,42,0.2
